2011Zones,Public Transport Mean Indicator Minutes
Comrie East,3.8
Comrie West,8.3
"Comrie, Gilmerton and St Fillans - 01",20.8
"Comrie, Gilmerton and St Fillans - 02",7.5
"Comrie, Gilmerton and St Fillans - 03",5.4
"Comrie, Gilmerton and St Fillans - 04",25.7
"Comrie, Gilmerton and St Fillans - 05",10.3
Condorrat - 01,9.5
Condorrat - 02,3.9
Condorrat - 03,9.4
Condorrat - 04,8.9
Condorrat - 05,9.4
Condorrat - 06,9.1
Conon - 01,31.4
Conon - 02,16
Conon - 03,18.9
Conon - 04,20.4
Conon - 05,15.9
Cornton - 01,4.8
Cornton - 02,6.2
Cornton - 03,8.3
Cornton - 04,9.4
Corstorphine - 01,8.6
Corstorphine - 02,13.2
Corstorphine - 03,10.1
Corstorphine - 04,8.5
Corstorphine - 05,4.2
Corstorphine - 06,3.6
Corstorphine - 07,6.1
Corstorphine North - 01,7.1
Corstorphine North - 02,15
Corstorphine North - 03,13.1
Corstorphine South - 01,7.5
Corstorphine South - 02,7.8
Corstorphine South - 03,13.2
Corstorphine South - 04,11.1
Corstorphine South - 05,9.8
Corstorphine South - 06,8.9
Coul,10.3
Coupar Angus and Meigle - 01,11.7
Coupar Angus and Meigle - 02,9.3
Coupar Angus and Meigle - 03,13
Coupar Angus and Meigle - 04,21.8
Coupar Angus and Meigle - 05,17.6
Coupar Angus and Meigle - 06,12.1
Cove North - 01,7.3
Cove North - 02,4.5
Cove North - 03,5.9
Cove North - 04,6.4
Cove North - 05,9.8
Cove South - 01,6.5
Cove South - 02,6.3
Cove South - 03,9.1
Cove South - 04,5.1
Cove South - 05,7.2
Cove South - 06,3.9
Cowal North - 01,17.9
Cowal North - 02,16.8
Cowal North - 03,15.9
Cowal North - 04,12.9
Cowal South - 01,9.1
Cowal South - 02,38.7
Cowal South - 03,27.9
Cowal South - 04,18.4
Cowdenbeath Central,5.8
Cowdenbeath Foulford,10
Cowdenbeath Glenfield,9.5
Cowdenbeath North,3.9
Cowdenbeath North East,7.6
Cowdenbeath North West,7
Cowdenbeath South,7.3
Cowdenbeath South East,8.2
Cowdenbeath South West,7.6
Cowie - 01,19
Cowie - 02,19.2
Cowie - 03,20.8
Cowie - 04,21.6
Cowlairs and Port Dundas - 01,12
Cowlairs and Port Dundas - 02,7
Cowlairs and Port Dundas - 03,4.2
Cowlairs and Port Dundas - 04,7
Cowlairs and Port Dundas - 05,6.5
Cowlairs and Port Dundas - 06,6
Coylton - 01,10
Coylton - 02,4.2
Coylton - 03,7.6
Coylton - 04,6.3
Coylton - 05,18.4
Craigend and Ruchazie - 01,10.7
Craigend and Ruchazie - 02,10
Craigend and Ruchazie - 03,8
Craigend and Ruchazie - 04,4.8
Craigend and Ruchazie - 05,9.2
Craigend and Ruchazie - 06,9.2
Craigend and Ruchazie - 07,8.3
Craigentinny - 01,3.5
Craigentinny - 02,4.3
Craigentinny - 03,6.5
Craigentinny - 04,3.6
Craigie - 01,9.3
Craigie - 02,10.6
Craigie - 03,12.5
Craigie and  Craigiebank - 01,6.6
Craigie and  Craigiebank - 02,8.3
Craigie and  Craigiebank - 03,9.4
Craigie and  Craigiebank - 04,11.5
Craigie and  Craigiebank - 05,10.2
Craigie and  Craigiebank - 06,8.6
"Craigleith, Orchard Brae and Crewe Toll - 01",11.6
"Craigleith, Orchard Brae and Crewe Toll - 02",10.6
"Craigleith, Orchard Brae and Crewe Toll - 03",10.8
"Craigleith, Orchard Brae and Crewe Toll - 04",7.6
"Craigleith, Orchard Brae and Crewe Toll - 05",11.7
"Craigleith, Orchard Brae and Crewe Toll - 06",12.5
Craiglockhart - 01,7.6
Craiglockhart - 02,8.2
Craiglockhart - 03,8.4
Craiglockhart - 04,6.3
Craiglockhart - 05,7.7
Craiglockhart - 06,7.3
Craigmillar - 01,7.6
Craigmillar - 02,5.8
Craigmillar - 03,5.7
Craigmillar - 04,5.9
Craigmillar - 05,4.8
Craigmount and Greenloanings,12.5
Craigneuk Airdrie - 01,15.1
Craigneuk Airdrie - 02,6.2
Craigneuk Airdrie - 03,11.7
Craigneuk Airdrie - 04,7.4
Craigneuk Airdrie - 05,10.7
Craigneuk Wishaw - 01,7.3
Craigneuk Wishaw - 02,9.2
Craigneuk Wishaw - 03,10.7
Craigneuk Wishaw - 04,7.6
Craigneuk Wishaw - 05,9.4
Craigneuk Wishaw - 06,10
Craigrothie and Ceres West,21.3
Craigshill - 01,11.4
Craigshill - 02,10.6
Craigshill - 03,9
Craigshill - 04,10
Craigshill - 05,7
Craigshill - 06,9.3
Craigton - 01,9.6
Craigton - 02,6.5
Craigton - 03,5.5
Craigton - 04,7.2
Crail North,13.3
Crail South and Fife Ness,14.1
Cramond - 01,4.2
Cramond - 02,4.6
Cramond - 03,7.8
"Cranhill, Lightburn and Queenslie South - 01",5.2
"Cranhill, Lightburn and Queenslie South - 02",6.1
"Cranhill, Lightburn and Queenslie South - 03",4.7
"Cranhill, Lightburn and Queenslie South - 04",6.9
"Cranhill, Lightburn and Queenslie South - 05",12.5
"Cranhill, Lightburn and Queenslie South - 06",7.4
"Cranhill, Lightburn and Queenslie South - 07",13.9
"Cranhill, Lightburn and Queenslie South - 08",8.2
"Cranhill, Lightburn and Queenslie South - 09",9.5
Cranshaws - Abbey St Bathans Area,41.6
Crathes and Torphins - 01,14.3
Crathes and Torphins - 02,4.1
Crathes and Torphins - 03,7.7
Crathes and Torphins - 04,19.6
Crathes and Torphins - 05,18
Crathes and Torphins - 06,16.5
Crieff North - 01,11
Crieff North - 02,8.4
Crieff North - 03,9.9
Crieff North - 04,4.9
Crieff South - 01,12.6
Crieff South - 02,8.7
Crieff South - 03,6.7
Crieff South - 04,4.2
Crieff South - 05,5.3
Cromar and Kildrummy - 01,4.7
Cromar and Kildrummy - 02,18.6
Cromar and Kildrummy - 03,27.4
Cromar and Kildrummy - 04,21.8
Cromar and Kildrummy - 05,24.9
Crombie,10.3
Crookfur and Fruin - 01,12.6
Crookfur and Fruin - 02,9.1
Crookfur and Fruin - 03,11.4
Crookfur and Fruin - 04,10.1
Crookfur and Fruin - 05,10.1
Crookfur and Fruin - 06,9.5
Crookfur and Fruin - 07,14.6
Crookston North - 01,6.4
Crookston North - 02,5.6
Crookston North - 03,6.3
Crookston North - 04,6.1
Crookston South - 01,10.2
Crookston South - 02,7.7
Crookston South - 03,6.2
Crookston South - 04,5.7
Cross Stobbs - 01,9.2
Cross Stobbs - 02,13.7
Cross Stobbs - 03,12.8
Cross Stobbs - 04,12.1
Cross Stobbs - 05,12.8
Cross Stobbs - 06,11.7
Crossford East and Berrylaw,17.7
Crossford South,20.8
Crossford West,17.9
"Crossford, Braidwood and Yieldshields - 01",19.3
"Crossford, Braidwood and Yieldshields - 02",20.9
"Crossford, Braidwood and Yieldshields - 03",19.7
"Crossford, Braidwood and Yieldshields - 04",15.2
Crossgates North,3.5
Crossgates North East,7.5
Crossgates North Knowe,6
Crossgates South Knowe and Annfield,14.3
Crosshill and Lochore South,4.5
Crosshouse and Lindsayfield - 01,11.7
Crosshouse and Lindsayfield - 02,11.7
Crosshouse and Lindsayfield - 03,9.6
Crosshouse and Lindsayfield - 04,7.2
Crosshouse and Lindsayfield - 05,7.8
Crosshouse and Lindsayfield - 06,8.1
Crosshouse and Lindsayfield - 07,9.3
"Crosshouse, Gatehead and Kilmaurs Rural - 01",10.3
"Crosshouse, Gatehead and Kilmaurs Rural - 02",6.8
"Crosshouse, Gatehead and Kilmaurs Rural - 03",7.4
"Crosshouse, Gatehead and Kilmaurs Rural - 04",9
"Crosshouse, Gatehead and Kilmaurs Rural - 05",12.5
Cruden - 01,15.4
Cruden - 02,17.5
Cruden - 03,6.4
Cruden - 04,5.4
Cruden - 05,13.6
Cruden - 06,13.9
Cruden - 07,5.4
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 01",14.2
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 02",6.6
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 03",4.9
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 04",12.4
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 05",18.4
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 06",18.3
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 07",13.9
"Cullen, Portknockie, Findochty, Drybridge and Berryhillock - 08",11.9
Culross and Low Valleyfield,11.5
Culter - 01,8.9
Culter - 02,10
Culter - 03,8.6
Culter - 04,7.9
Culter - 05,5.6
Culter - 06,4.9
Culter - 07,19
"Cults, Bieldside and Milltimber East - 01",10
"Cults, Bieldside and Milltimber East - 02",13.9
"Cults, Bieldside and Milltimber East - 03",17.1
"Cults, Bieldside and Milltimber East - 04",15.9
"Cults, Bieldside and Milltimber East - 05",10.8
"Cults, Bieldside and Milltimber East - 06",7.8
"Cults, Bieldside and Milltimber East - 07",6.6
"Cults, Bieldside and Milltimber East - 08",8.6
"Cults, Bieldside and Milltimber West - 01",11.3
"Cults, Bieldside and Milltimber West - 02",9.7
"Cults, Bieldside and Milltimber West - 03",17.2
"Cults, Bieldside and Milltimber West - 04",9.6
"Cults, Bieldside and Milltimber West - 05",12.6
Cumbernauld Central - 01,12
Cumbernauld Central - 02,12.5
Cumbernauld Central - 03,3.3
Cumbernauld Central - 04,5.3
Cumbernauld Central - 05,13.3
Cumbernauld Central - 06,11.5
Cummings Park - 01,10.9
Cummings Park - 02,5.9
Cummings Park - 03,10.1
Cummings Park - 04,8.3
Cummings Park - 05,11.8
Cumnock North - 01,6.1
Cumnock North - 02,6.4
Cumnock North - 03,6.7
Cumnock North - 04,8.8
Cumnock North - 05,9.5
Cumnock Rural - 01,19.7
Cumnock Rural - 02,11.6
Cumnock Rural - 03,22.4
Cumnock Rural - 04,12.3
Cumnock Rural - 05,13.4
Cumnock Rural - 06,22.7
Cumnock Rural - 07,28.5
Cumnock Rural - 08,16.3
Cumnock South and Craigens - 01,12.7
Cumnock South and Craigens - 02,9.6
Cumnock South and Craigens - 03,8
Cumnock South and Craigens - 04,8.3
Cumnock South and Craigens - 05,5.9
Cumnock South and Craigens - 06,8.1
Cumnock South and Craigens - 07,8.3
Cupar East,10.3
Cupar North,5.9
Cupar North West,5.9
Cupar Northern,4.3
Cupar South South East,17.1
Cupar South West,8.6
Cupar Station and Meadowside,12.7
Cupar Tarvit,14.6
Cupar West,5.8
Cupar Westfield,10.1
Cupar Westfield South,14.7
Currie East - 01,6.8
Currie East - 02,6.9
Currie East - 03,11.7
Currie East - 04,11.6
Currie West - 01,9.4
Currie West - 02,5.7
Currie West - 03,15.8
Currie West - 04,7.5
Dairsie and Kemback,15.5
Dalbeattie - 01,7.1
Dalbeattie - 02,6.2
Dalbeattie - 03,8.2
Dalbeattie - 04,6.1
Dalbeattie - 05,6
Dalbeattie Rural - 01,28.6
Dalbeattie Rural - 02,22.6
Dalbeattie Rural - 03,30.9
Dalgety Bay East,6.3
Dalgety Bay South East,6.4
Dalgety Bogend Wood,6.2
Dalgety Crow Hill,8.4
Dalgety Donibristle and Hillend,8.2
Dalgety Donibristle South,6.1
Dalgety Letham Farm,8.2
Dalgety Letham Hill,8.8
Dalgety Letham Hill South,8.6
Dalgety Longhill Park,5.8
Dalgety Ross Plantation,7.1
Dalgety St Davids Clump,7.7
Dalgety Steeple Clump,8.5
Dalkeith - 01,4.4
Dalkeith - 02,4.4
Dalkeith - 03,9.2
Dalkeith - 04,10.3
Dalmarnock - 01,6.9
Dalmarnock - 02,5.8
Dalmarnock - 03,5.8
"Dalmeny, Kirkliston and Newbridge - 01",14.6
"Dalmeny, Kirkliston and Newbridge - 02",12.2
"Dalmeny, Kirkliston and Newbridge - 03",5.3
"Dalmeny, Kirkliston and Newbridge - 04",14
"Dalmeny, Kirkliston and Newbridge - 05",10.3
"Dalmeny, Kirkliston and Newbridge - 06",16.6
Dalmilling - 01,13.8
Dalmilling - 02,14.7
Dalmilling - 03,15.8
Dalmilling - 04,14.3
Dalmuir - 01,14.4
Dalmuir - 02,10.8
Dalmuir - 03,10.9
Dalmuir - 04,10.8
Dalmuir - 05,12.7
Dalmuir - 06,13.4
Dalmuir - 07,16.3
Dalreoch - 01,8.9
Dalreoch - 02,7.5
Dalreoch - 03,10.6
Dalreoch - 04,10.4
Dalreoch - 05,13.7
Dalreoch - 06,15.5
Dalreoch - 07,11.8
Dalreoch - 08,10.3
Dalry and Fountainbridge - 01,5.1
Dalry and Fountainbridge - 02,5.6
Dalry and Fountainbridge - 03,3.7
Dalry and Fountainbridge - 04,5.1
Dalry and Fountainbridge - 05,5.8
Dalry and Fountainbridge - 06,6.3
Dalry and Fountainbridge - 07,7
Dalry and Fountainbridge - 08,7.5
Dalry East and Rural - 01,16.8
Dalry East and Rural - 02,9.7
Dalry East and Rural - 03,10.3
Dalry East and Rural - 04,5.3
Dalry West - 01,8.5
Dalry West - 02,8.2
Dalry West - 03,5.9
Dalry West - 04,4.9
Danestone - 01,13.9
Danestone - 02,4.1
Danestone - 03,6.7
Danestone - 04,8.4
Danestone - 05,3
Danestone - 06,4.7
Darnley East - 01,11.6
Darnley East - 02,4.6
Darnley East - 03,6.4
Darnley East - 04,9.4
Darnley East - 05,3.2
Darnley East - 06,14.6
Darnley North - 01,9.5
Darnley North - 02,11.2
Darnley North - 03,11.6
Darnley North - 04,12.2
Darnley West - 01,10.4
Darnley West - 02,10.2
Darnley West - 03,16.3
Darnley West - 04,16.1
Darnley West - 05,11.6
Darnley West - 06,10.3
Darnley West - 07,14.9
Darvel - 01,10.1
Darvel - 02,9.4
Darvel - 03,6.7
Darvel - 04,6.3
Darvel - 05,5.2
Dean and New Farm Loch North - 01,13.1
Dean and New Farm Loch North - 02,13.1
Dean and New Farm Loch North - 03,14.6
Dean and New Farm Loch North - 04,13.5
Dean and New Farm Loch North - 05,14.9
Deans - 01,12.5
Deans - 02,11.7
Deans - 03,12.9
Deans - 04,10.6
Deans Village - 01,5.3
Deans Village - 02,5.6
Deans Village - 03,7.7
Deans Village - 04,4.5
Deans Village - 05,6
Deans Village - 06,5.6
Deans Village - 07,7.6
Dedridge East - 01,6.8
Dedridge East - 02,4.9
Dedridge East - 03,7.1
Dedridge East - 04,10.3
Dedridge East - 05,10.3
Dedridge East - 06,9.7
Dedridge East - 07,11.2
Deer and Mormond - 01,9.9
Deer and Mormond - 02,4.4
Deer and Mormond - 03,17.4
Deer and Mormond - 04,17.4
Deer and Mormond - 05,3.7
Deer and Mormond - 06,21.8
Deer and Mormond - 07,22.9
Denbeath North,8.9
Denbeath South,9.7
Denholm,18.2
Denmore - 01,11.6
Denmore - 02,11.6
Denmore - 03,12.6
Denmore - 04,12.3
Dennistoun - 01,5.5
Dennistoun - 02,4.4
Dennistoun - 03,3.8
Dennistoun - 04,5.8
Dennistoun - 05,4.3
Dennistoun - 06,8.1
Dennistoun North - 01,4.1
Dennistoun North - 02,5.6
Dennistoun North - 03,7.1
Dennistoun North - 04,4.7
Dennistoun North - 05,2.9
Denny - Nethermains - 01,9.7
Denny - Nethermains - 02,9.5
Denny - Nethermains - 03,8.4
Denny - Nethermains - 04,7.8
Denny - Nethermains - 05,7.9
Denny - Nethermains - 06,6.3
Dingwall - 01,18.6
Dingwall - 02,24.4
Dingwall - 03,21.6
Dingwall - 04,20.7
Dingwall - 05,19.6
Dingwall - 06,26.2
Dingwall - 07,32.3
Docks and Wellgate - 01,14.3
Docks and Wellgate - 02,4.8
Docks and Wellgate - 03,3.5
Docks and Wellgate - 04,5.6
Docks and Wellgate - 05,5.3
Docks and Wellgate - 06,5.1
Docks and Wellgate - 07,5.6
Dollar and Muckhart - 01,7.6
Dollar and Muckhart - 02,7.2
Dollar and Muckhart - 03,9.1
Dollar and Muckhart - 04,9.6
Dollar and Muckhart - 05,17.6
Doon Valley North - 01,17.1
Doon Valley North - 02,17.2
Doon Valley North - 03,4.7
Doon Valley North - 04,8.1
Doon Valley North - 05,7.9
Doon Valley North - 06,13.4
Doon Valley South - 01,12.6
Doon Valley South - 02,6.7
Doon Valley South - 03,6.9
Doon Valley South - 04,5.2
Doon Valley South - 05,5.1
Douglas East - 01,4.6
Douglas East - 02,4.8
Douglas East - 03,6.6
Douglas East - 04,6.7
Douglas West - 01,8.8
Douglas West - 02,5.4
Douglas West - 03,6.3
Douglas West - 04,5.5
Douglas West - 05,4.4
Douglas West - 06,5.1
"Douglas, Coalburn and Rigside - 01",4.3
"Douglas, Coalburn and Rigside - 02",6.6
"Douglas, Coalburn and Rigside - 03",4.1
"Douglas, Coalburn and Rigside - 04",5.6
"Douglas, Coalburn and Rigside - 05",10
Dowanhill - 01,5.3
Dowanhill - 02,3.3
Dowanhill - 03,4.5
Dowanhill - 04,5.5
Dowanhill - 05,5.2
Downfield - 01,11
Downfield - 02,10.8
Downfield - 03,7.3
Downfield - 04,7.5
Downfield - 05,7.3
Downfield - 06,7.2
Downfield - 07,6.6
Dreghorn - 01,7.6
Dreghorn - 02,8.9
Dreghorn - 03,4.5
Dreghorn - 04,7.6
Dreghorn - 05,9.9
Drongan - 01,5.6
Drongan - 02,4
Drongan - 03,8.2
Drongan - 04,7.8
Drumchapel North - 01,5.2
Drumchapel North - 02,7.3
Drumchapel North - 03,6.5
Drumchapel North - 04,6.9
Drumchapel North - 05,6.7
Drumchapel South - 01,2.9
Drumchapel South - 02,3.6
Drumchapel South - 03,3.9
Drumgelloch - 01,4.5
Drumgelloch - 02,6.7
Drumgelloch - 03,4.2
Drumgelloch - 04,4.5
Drumgelloch - 05,4.5
Drumgelloch - 06,8.7
Drumoyne and Shieldhall - 01,9.9
Drumoyne and Shieldhall - 02,10.1
Drumoyne and Shieldhall - 03,9.9
Drumoyne and Shieldhall - 04,10.6
Drumoyne and Shieldhall - 05,11.2
Drumoyne and Shieldhall - 06,5.9
Drumoyne and Shieldhall - 07,5.6
Drumoyne and Shieldhall - 08,4.1
Drumpellier and Langloan - 01,13.6
Drumpellier and Langloan - 02,10.3
Drumpellier and Langloan - 03,20
Drumry - 01,7.4
Drumry - 02,10.2
Drumry - 03,14
Drumry - 04,15.5
Drumry - 05,7.7
Drumry - 06,6.5
Drumry - 07,6.1
Drumry East - 01,4.1
Drumry East - 02,6.9
Drumry East - 03,5.7
Drumry East - 04,4.1
Drumry West - 01,4.8
Drumry West - 02,5.7
Drumry West - 03,6.3
Drumry West - 04,4.4
Dryburgh Charlesfield Maxton Area,23
Drylaw - 01,9.7
Drylaw - 02,7.7
Drylaw - 03,7.3
Drylaw - 04,8.1
Drylaw - 05,6.9
Duddingston and Portobello South - 01,4.8
Duddingston and Portobello South - 02,4.4
Duddingston and Portobello South - 03,3.9
Duddingston and Portobello South - 04,6.9
Duddingston and Portobello South - 05,5.4
Duloch Central,9.3
Duloch East,13
Duloch North East,10.6
Duloch North North West,5.7
Duloch North West,4.9
Duloch South,11.5
Duloch South East,14.6
Duloch South West,10.9
Duloch West,9.5
Dumbarton - 01,13.9
Dumbarton - 02,11.3
Dumbarton - 03,12.3
Dumbarton - 04,9.4
Dumbarton - 05,5.9
Dumbarton - 06,8.7
Dumbarton - 07,10
Dumbarton - 08,11.1
Dumbarton East - 01,14.5
Dumbarton East - 02,14.9
Dumbarton East - 03,14.9
Dumbarton East - 04,15
Dumbarton East - 05,13.8
Dumbarton East - 06,10.7
Dumbarton East - 07,13
Dumfries Central - 01,9.6
Dumfries Central - 02,6.6
Dumfries Central - 03,5.8
Dumfries Central - 04,3.8
Dunbar East - 01,6.1
Dunbar East - 02,3.2
Dunbar East - 03,5.6
Dunbar East - 04,7.7
Dunbar East - 05,9.4
Dunbar East - 06,8.2
Dunbar West - 01,12.4
Dunbar West - 02,7
Dunbar West - 03,7.7
Dunbar West - 04,7.7
Dunbar West - 05,6
Dunblane East - 01,14.8
Dunblane East - 02,16.9
Dunblane East - 03,14.9
Dunblane East - 04,20.9
Dunblane East - 05,24.9
Dunblane East - 06,12.9
Dunblane East - 07,11.2
Dunblane West - 01,5.4
Dunblane West - 02,8.9
Dunblane West - 03,10.4
Dunblane West - 04,6.9
Dunblane West - 05,7.5
Dundonald,7.9
"Dundonald, Loans and Symington - 01",7.2
"Dundonald, Loans and Symington - 02",12.9
"Dundonald, Loans and Symington - 03",7.7
"Dundonald, Loans and Symington - 04",4.3
"Dundonald, Loans and Symington - 05",9.6
"Dundonald, Loans and Symington - 06",5.5
"Dundonald, Loans and Symington - 07",13.8
Dundyvan - 01,7.3
Dundyvan - 02,8.5
Dundyvan - 03,7.6
Dundyvan - 04,5.6
Dundyvan - 05,7.7
Dundyvan - 06,13.6
Dundyvan - 07,18.3
Dundyvan - 08,12.6
Dunearn,9.3
"Dunecht, Durris and Drumoak - 01",26.6
"Dunecht, Durris and Drumoak - 02",14.9
"Dunecht, Durris and Drumoak - 03",34
"Dunecht, Durris and Drumoak - 04",31.7
"Dunecht, Durris and Drumoak - 05",25.4
"Dunecht, Durris and Drumoak - 06",27
Dunfermline Business Park,9.5
Dunipace - 01,6.3
Dunipace - 02,7.4
Dunipace - 03,5.4
Dunipace - 04,6.7
Dunipace - 05,7.5
Dunnikier Central,14.2
Dunnikier East,15.5
Dunnikier North,15.9
Dunnikier North West,15.8
Dunnikier South,12.2
Dunoon - 01,6.5
Dunoon - 02,4
Dunoon - 03,6.7
Dunoon - 04,5.2
Dunoon - 05,4.2
Dunoon - 06,6.2
Dunoon - 07,8.5
Duns - East,16
Duns - North,14.3
Duns - South,7.4
Duns - West,13.5
"Dunterlie, East Arthurlie and Dovecothall - 01",6.1
"Dunterlie, East Arthurlie and Dovecothall - 02",5.9
"Dunterlie, East Arthurlie and Dovecothall - 03",6.7
"Dunterlie, East Arthurlie and Dovecothall - 04",6.7
"Dunterlie, East Arthurlie and Dovecothall - 05",8.6
"Dunterlie, East Arthurlie and Dovecothall - 06",7
"Dunterlie, East Arthurlie and Dovecothall - 07",5.4
"Dunterlie, East Arthurlie and Dovecothall - 08",7.1
"Dunterlie, East Arthurlie and Dovecothall - 09",8.2
Duntocher - 01,14
Duntocher - 02,13.7
Duntocher - 03,14.8
Duntocher - 04,13.7
Duntocher - 05,14.9
Duntocher - 06,16.3
Durno-Chapel of Garioch - 01,15.2
Durno-Chapel of Garioch - 02,13.9
Durno-Chapel of Garioch - 03,9.2
Durno-Chapel of Garioch - 04,29.5
Durno-Chapel of Garioch - 05,14.1
Durno-Chapel of Garioch - 06,16
Durno-Chapel of Garioch - 07,29
Dyce - 01,5.4
Dyce - 02,8.1
Dyce - 03,10.1
Dyce - 04,8.9
Dyce - 05,10.5
Dyce - 06,13.6
Dyce - 07,20
Dysart Central,9.1
Dysart North,10.3
Dysart North East,11.5
Eaglesham and Waterfoot - 01,5.4
Eaglesham and Waterfoot - 02,13
Eaglesham and Waterfoot - 03,10.2
Eaglesham and Waterfoot - 04,5.1
Eaglesham and Waterfoot - 05,10.6
Eaglesham and Waterfoot - 06,8
Eaglesham and Waterfoot - 07,12.4
Earlsferry,7.8
Earlston - East,6.8
Earlston - West,5.3
Earlston and Hurlford Rural - 01,13.5
Earlston and Hurlford Rural - 02,12
Earlston and Hurlford Rural - 03,10.7
Earlston and Hurlford Rural - 04,13.9
Earlston and Hurlford Rural - 05,10.1
Earlston and Hurlford Rural - 06,10.8
Earlston and Hurlford Rural - 07,22.7
Earlston and Melrose Landward,15.9
Earnock - 01,11
Earnock - 02,7.1
Earnock - 03,6.7
Earnock - 04,9.3
Earnock - 05,5.8
Earnock - 06,9.5
East and West Mainland - 01,56.2
East and West Mainland - 02,14.9
East and West Mainland - 03,26.6
East and West Mainland - 04,23.9
East Cairngorms - 01,8.2
East Cairngorms - 02,5.5
East Cairngorms - 03,22.1
East Cairngorms - 04,28.9
East Cairngorms - 05,6.4
East Calder - 01,9.1
East Calder - 02,11.1
East Calder - 03,9.7
East Calder - 04,13.2
East Calder - 05,7.3
East Calder - 06,8
East Calder - 07,5.8
East Clober and Mains Estate - 01,6.6
East Clober and Mains Estate - 02,8.8
East Clober and Mains Estate - 03,6.5
East Clober and Mains Estate - 04,11.7
East Craigs North - 01,10.5
East Craigs North - 02,8.4
East Craigs North - 03,9.7
East Craigs North - 04,11.1
East Craigs North - 05,7.5
East Craigs South - 01,10.9
East Craigs South - 02,11.8
East Craigs South - 03,11
East Craigs South - 04,13.1
East Craigs South - 05,8.1
East Craigs South - 06,7.8
East Craigs South - 07,10.7
East Kirkwall - 01,10.8
East Kirkwall - 02,13
East Kirkwall - 03,11
East Kirkwall - 04,10.5
East Linton and Rural - 01,17.5
East Linton and Rural - 02,12.8
East Linton and Rural - 03,10.2
East Linton and Rural - 04,9.9
East Linton and Rural - 05,25.4
East Linton and Rural - 06,22.1
East Linton and Rural - 07,14.6
East Mainland - 01,21.3
East Mainland - 02,37.4
East Mainland - 03,19
East Mainland - 04,16.6
East Mainland - 05,12.3
East Mains - 01,9.6
East Mains - 02,12.9
East Mains - 03,13.7
East Mains - 04,12.5
East Sands,11
East Wemyss and Standingstane,16.7
East Wemyss McDuff,11.4
East Wemyss Shore,14.1
Easter Road and Hawkhill Avenue - 01,6.1
Easter Road and Hawkhill Avenue - 02,9.4
Easter Road and Hawkhill Avenue - 03,8.3
Easter Road and Hawkhill Avenue - 04,5.1
Easterhouse East - 01,9.4
Easterhouse East - 02,8.2
Easterhouse East - 03,8
Easterhouse East - 04,11.5
Easterhouse East - 05,12.3
Easthouses - 01,14.8
Easthouses - 02,12.5
Easthouses - 03,11.8
Easthouses - 04,10
Eastriggs - 01,12.9
Eastriggs - 02,17.1
Eastriggs - 03,19
Eastriggs - 04,20.2
Eddleston and Area,25.5
Eddlewood - 01,8.1
Eddlewood - 02,7.2
Eddlewood - 03,7.5
Eddlewood - 04,8.9
Eddlewood - 05,12.2
Elderslie and Phoenix - 01,17.4
Elderslie and Phoenix - 02,9.8
Elderslie and Phoenix - 03,11.9
Elderslie and Phoenix - 04,10.3
Elderslie and Phoenix - 05,11.1
Elderslie and Phoenix - 06,9.5
Elgin Bishopmill East and Ladyhill - 01,4
Elgin Bishopmill East and Ladyhill - 02,8.6
Elgin Bishopmill East and Ladyhill - 03,13.8
Elgin Bishopmill East and Ladyhill - 04,16.3
Elgin Bishopmill East and Ladyhill - 05,14.4
Elgin Bishopmill West and Newfield - 01,11.6
Elgin Bishopmill West and Newfield - 02,15.8
Elgin Bishopmill West and Newfield - 03,13.2
Elgin Bishopmill West and Newfield - 04,16.5
Elgin Bishopmill West and Newfield - 05,10
Elgin Cathedral to Ashgrove and Pinefield - 01,15.1
Elgin Cathedral to Ashgrove and Pinefield - 02,14.7
Elgin Cathedral to Ashgrove and Pinefield - 03,8.5
Elgin Cathedral to Ashgrove and Pinefield - 04,10
Elgin Cathedral to Ashgrove and Pinefield - 05,12.7
Elgin Cathedral to Ashgrove and Pinefield - 06,13.1
Elgin Central West - 01,7.2
Elgin Central West - 02,4.3
Elgin Central West - 03,7.7
Elgin Central West - 04,11.5
Elie,8.8
Ellon East - 01,8
Ellon East - 02,5.2
Ellon East - 03,14.7
Ellon East - 04,14.8
Ellon East - 05,6.7
Ellon East - 06,9.3
Ellon East - 07,8
Ellon West - 01,7.8
Ellon West - 02,10.7
Ellon West - 03,12.2
Ellon West - 04,10.8
Ellon West - 05,11.2
Ellon West - 06,11.6
Ellon West - 07,7.4
Errol and Inchture - 01,23.1
Errol and Inchture - 02,17.6
Errol and Inchture - 03,17.7
Errol and Inchture - 04,4.2
Errol and Inchture - 05,7.2
Erskine Central - 01,3.3
Erskine Central - 02,5.3
Erskine Central - 03,7.7
Erskine Central - 04,7.8
Erskine Central - 05,8.7
Erskine Central - 06,8
Erskine Central - 07,11.3
Erskine East and Inchinnan - 01,13.8
Erskine East and Inchinnan - 02,11.3
Erskine East and Inchinnan - 03,7.6
